Product Name,Category,Stock Quantity
Laptop,Electronics,42
Mouse,Electronics,185
Keyboard,Electronics,96
Monitor,Electronics,34
Office Chair,Furniture,37
Desk,Furniture,27
T-Shirt,Clothing,240
Jeans,Clothing,128
Blender,Home Appliances,5
Microwave,Home Appliances,18
Laptop,Electronics,55
Mouse,Electronics,10
Keyboard,Electronics,21
Monitor,Electronics,29
Office Chair,Furniture,33
Desk,Furniture,7
T-Shirt,Clothing,215
Jeans,Clothing,117
Blender,Home Appliances,26
Microwave,Home Appliances,14
