Product Name,Category,Quantity Sold,Unit Price,Date of Sale
Laptop,Electronics,5,3500,2026-01-07
Mouse,Electronics,15,50,2026-01-15
Keyboard,Electronics,10,120,2026-01-19
Monitor,Electronics,4,800,2026-01-28
Office Chair,Furniture,3,450,2026-01-31
Desk,Furniture,2,700,2026-02-03
T-Shirt,Clothing,20,35,2026-02-10
Jeans,Clothing,12,80,2026-02-18
Blender,Home Appliances,6,250,2026-02-26
Microwave,Home Appliances,4,500,2026-03-02
Laptop,Electronics,3,3500,2026-03-08
Mouse,Electronics,18,50,2026-03-14
Keyboard,Electronics,8,120,2026-03-25
Monitor,Electronics,5,800,2026-04-07
Office Chair,Furniture,4,450,2026-04-12
Desk,Furniture,3,700,2026-04-24
T-Shirt,Clothing,25,35,2026-04-29
Jeans,Clothing,10,80,2026-05-03
Blender,Home Appliances,7,250,2026-05-15
Microwave,Home Appliances,5,500,2026-05-20
Laptop,Electronics,4,3500,2026-05-27
Mouse,Electronics,20,50,2026-06-05
Keyboard,Electronics,12,120,2026-06-11
Monitor,Electronics,6,800,2026-06-23
Office Chair,Furniture,5,450,2026-06-30
Desk,Furniture,4,700,2026-07-06
T-Shirt,Clothing,22,35,2026-07-09
Jeans,Clothing,14,80,2026-07-18
Blender,Home Appliances,8,250,2026-07-31
Microwave,Home Appliances,6,500,2026-08-04
Laptop,Electronics,6,3500,2026-08-19
Mouse,Electronics,16,50,2026-08-27
Keyboard,Electronics,11,120,2026-08-31
Monitor,Electronics,5,800,2026-09-05
Office Chair,Furniture,4,450,2026-09-10
Desk,Furniture,3,700,2026-09-22
T-Shirt,Clothing,28,35,2026-09-29
Jeans,Clothing,15,80,2026-10-01
Blender,Home Appliances,7,250,2026-10-12
Microwave,Home Appliances,5,500,2026-10-17
Laptop,Electronics,5,3500,2026-10-24
Mouse,Electronics,19,50,2026-11-08
Keyboard,Electronics,13,120,2026-11-14
Monitor,Electronics,7,800,2026-11-21
Office Chair,Furniture,6,450,2026-11-30
Desk,Furniture,4,700,2026-12-05
T-Shirt,Clothing,30,35,2026-12-09
Jeans,Clothing,16,80,2026-12-16
Blender,Home Appliances,9,250,2026-12-22
Microwave,Home Appliances,7,500,2026-12-23
Jeans,Clothing,9,80,2026-12-28
